{x=494,m=380,a=686,s=2820}
{x=1774,m=1946,a=1082,s=2271}
{x=3447,m=635,a=242,s=1675}
{x=2417,m=1173,a=895,s=544}
{x=1270,m=923,a=760,s=1068}
{x=413,m=660,a=2356,s=3322}
{x=368,m=804,a=2075,s=1700}
{x=429,m=1673,a=61,s=1544}
{x=2385,m=1845,a=2766,s=1780}
{x=85,m=856,a=204,s=1076}
{x=1987,m=120,a=1318,s=1019}
{x=2145,m=225,a=58,s=56}
{x=262,m=362,a=204,s=2286}
{x=432,m=1130,a=128,s=366}
{x=1631,m=393,a=2420,s=957}
{x=184,m=71,a=3197,s=848}
{x=842,m=581,a=133,s=130}
{x=462,m=837,a=349,s=1223}
{x=274,m=431,a=177,s=3327}
{x=367,m=11,a=731,s=3497}
{x=1034,m=1680,a=1156,s=2232}
{x=1958,m=3167,a=1889,s=422}
{x=1630,m=1719,a=1267,s=54}
{x=604,m=167,a=2637,s=218}
{x=453,m=401,a=36,s=513}
{x=61,m=165,a=3516,s=305}
{x=1162,m=350,a=186,s=169}
{x=2186,m=904,a=489,s=282}
{x=1230,m=498,a=664,s=363}
{x=236,m=469,a=1687,s=404}
{x=841,m=1348,a=453,s=238}
{x=1042,m=1244,a=395,s=1661}
{x=185,m=1677,a=488,s=981}
{x=1,m=22,a=2352,s=378}
{x=3187,m=3028,a=38,s=658}
{x=2104,m=63,a=720,s=26}
{x=340,m=1762,a=382,s=63}
{x=59,m=2336,a=789,s=678}
{x=1064,m=112,a=19,s=1609}
{x=1496,m=543,a=550,s=1235}
{x=1274,m=1310,a=1251,s=2002}
{x=15,m=28,a=1721,s=2445}
{x=328,m=1065,a=1070,s=1725}
{x=301,m=330,a=569,s=213}
{x=58,m=465,a=3128,s=271}
{x=3505,m=769,a=2206,s=2035}
{x=302,m=137,a=92,s=107}
{x=272,m=389,a=819,s=1050}
{x=1224,m=578,a=1760,s=3435}
{x=557,m=711,a=679,s=93}
{x=649,m=1707,a=592,s=603}
{x=675,m=680,a=588,s=111}
{x=222,m=1717,a=1554,s=1877}
{x=492,m=2752,a=181,s=992}
{x=643,m=286,a=2323,s=1604}
{x=495,m=335,a=2483,s=1756}
{x=1016,m=1103,a=292,s=599}
{x=757,m=1336,a=483,s=388}
{x=960,m=2838,a=275,s=890}
{x=1257,m=500,a=133,s=264}
{x=2737,m=204,a=1101,s=181}
{x=799,m=95,a=26,s=43}
{x=2568,m=804,a=529,s=631}
{x=3620,m=307,a=1385,s=60}
{x=2402,m=3258,a=858,s=92}
{x=2884,m=34,a=2096,s=89}
{x=2154,m=2506,a=443,s=464}
{x=21,m=2667,a=2592,s=897}
{x=294,m=2221,a=338,s=24}
{x=66,m=402,a=366,s=398}
{x=25,m=1643,a=2,s=288}
{x=497,m=342,a=568,s=2056}
{x=501,m=404,a=1094,s=181}
{x=1861,m=801,a=2260,s=322}
{x=737,m=1970,a=3195,s=936}
{x=678,m=635,a=487,s=57}
{x=851,m=2259,a=934,s=756}
{x=584,m=960,a=874,s=25}
{x=189,m=1787,a=2142,s=367}
{x=88,m=11,a=1113,s=3132}
{x=2444,m=175,a=584,s=194}
{x=2100,m=16,a=2068,s=159}
{x=987,m=1822,a=2200,s=2063}
{x=1300,m=31,a=2772,s=1932}
{x=1209,m=914,a=1247,s=1838}
{x=337,m=683,a=645,s=1572}
{x=237,m=618,a=931,s=2629}
{x=994,m=224,a=1121,s=1354}
{x=533,m=237,a=340,s=103}
{x=39,m=2998,a=3097,s=2654}
{x=2735,m=452,a=404,s=516}
{x=449,m=444,a=38,s=2265}
{x=1407,m=1357,a=1729,s=1537}
{x=2386,m=2492,a=154,s=1189}
{x=357,m=954,a=905,s=3701}
{x=3745,m=1009,a=1967,s=343}
{x=12,m=505,a=941,s=114}
{x=397,m=499,a=374,s=3034}
{x=383,m=541,a=529,s=816}
{x=2802,m=1651,a=1323,s=2103}
{x=963,m=809,a=1085,s=121}
{x=171,m=891,a=980,s=36}
{x=966,m=513,a=1525,s=566}
{x=49,m=209,a=1174,s=1885}
{x=130,m=169,a=808,s=355}
{x=83,m=2209,a=834,s=2802}
{x=1089,m=160,a=304,s=339}
{x=1049,m=333,a=1283,s=604}
{x=522,m=1670,a=229,s=477}
{x=412,m=1900,a=123,s=661}
{x=227,m=1116,a=573,s=2107}
{x=1512,m=240,a=649,s=154}
{x=840,m=645,a=938,s=342}
{x=95,m=2026,a=783,s=3596}
{x=1598,m=986,a=2684,s=72}
{x=2702,m=2803,a=1705,s=1707}
{x=1458,m=1465,a=2541,s=1428}
{x=733,m=37,a=59,s=123}
{x=2968,m=131,a=942,s=70}
{x=696,m=926,a=586,s=1566}
{x=2647,m=1640,a=518,s=745}
{x=710,m=1248,a=337,s=93}
{x=1285,m=947,a=619,s=1684}
{x=95,m=1336,a=112,s=2013}
{x=1519,m=844,a=1940,s=65}
{x=573,m=275,a=1902,s=1768}
{x=1228,m=530,a=1147,s=956}
{x=379,m=443,a=1341,s=260}
{x=254,m=2647,a=1724,s=85}
{x=3009,m=304,a=313,s=859}
{x=665,m=612,a=476,s=1512}
{x=12,m=246,a=91,s=82}
{x=696,m=779,a=1391,s=202}
{x=455,m=179,a=66,s=833}
{x=1366,m=136,a=219,s=1140}
{x=36,m=41,a=474,s=142}
{x=1384,m=18,a=900,s=1689}
{x=463,m=708,a=480,s=64}
{x=77,m=670,a=2907,s=306}
{x=974,m=912,a=378,s=6}
{x=2828,m=1254,a=3583,s=1000}
{x=2838,m=329,a=465,s=166}
{x=235,m=430,a=118,s=57}
{x=386,m=981,a=337,s=1410}
{x=1701,m=1049,a=925,s=1082}
{x=828,m=302,a=1205,s=1968}
{x=904,m=101,a=2535,s=410}
{x=3105,m=1010,a=314,s=1354}
{x=281,m=1704,a=2971,s=1956}
{x=877,m=1742,a=1635,s=1091}
{x=100,m=129,a=2085,s=2334}
{x=315,m=3381,a=915,s=1071}
{x=2398,m=1014,a=259,s=595}
{x=1339,m=236,a=102,s=1913}
{x=864,m=1286,a=176,s=399}
{x=261,m=478,a=338,s=2162}
{x=3705,m=543,a=3096,s=2024}
{x=31,m=108,a=19,s=478}
{x=903,m=1477,a=856,s=59}
{x=277,m=323,a=41,s=561}
{x=1011,m=1048,a=1300,s=332}
{x=1284,m=930,a=1132,s=681}
{x=358,m=44,a=129,s=3163}
{x=1595,m=922,a=129,s=66}
{x=195,m=1508,a=240,s=772}
{x=1641,m=40,a=61,s=740}
{x=1492,m=2104,a=137,s=1605}
{x=3011,m=1112,a=2365,s=731}
{x=29,m=3012,a=437,s=328}
{x=339,m=1282,a=486,s=692}
{x=2188,m=2478,a=8,s=411}
{x=6,m=184,a=1545,s=539}
{x=769,m=1891,a=402,s=241}
{x=688,m=2588,a=430,s=448}
{x=139,m=472,a=461,s=74}
{x=781,m=1322,a=1409,s=1082}
{x=783,m=472,a=1211,s=3139}
{x=78,m=1553,a=2703,s=1842}
{x=175,m=848,a=171,s=1332}
{x=2032,m=977,a=594,s=373}
{x=1553,m=1455,a=926,s=1752}
{x=1867,m=1728,a=1242,s=1287}
{x=150,m=245,a=36,s=917}
{x=48,m=1708,a=85,s=597}
{x=1263,m=130,a=469,s=1262}
{x=3892,m=168,a=67,s=60}
{x=12,m=2900,a=2743,s=651}
{x=836,m=1321,a=320,s=1494}
{x=1484,m=16,a=2398,s=68}
{x=2638,m=2038,a=131,s=22}
{x=765,m=31,a=2569,s=51}
{x=1065,m=468,a=58,s=648}
{x=286,m=1103,a=727,s=2309}
{x=30,m=2522,a=422,s=2912}
{x=107,m=1798,a=509,s=137}
{x=413,m=2711,a=2494,s=89}
{x=274,m=177,a=362,s=41}
{x=2053,m=731,a=31,s=98}
{x=60,m=1188,a=1501,s=363}
{x=24,m=150,a=272,s=726}
